Category,Subcategory
Apparel,Clothing
Apparel,Fashion
Apparel,Shoes
Apparel,Laundry
Apparel,Merch
Culture,Books
Culture,Concert
Culture,Movie
Culture,Music
Culture,Apps
Education,Academy
Education,Student Debt
Education,Schooling
Education,Textbooks
Education,School supplies
Electronics,Software
Electronics,Work
Electronics,Gaming
Electronics,3D Printing
Entertainment,Games
Food,Beverages
Food,Dinner
Food,Eating out
Food,Fast Food
Food,Groceries
Food,Lunch
Food,Snack
Gift
Health,Health
Health,Medicine
Health,Hospital
Household,Appliances
Household,Furniture
Household,Chandlery
Household,Kitchen
Household,Rent
Household,Toiletries
Other,Debt
Salary,Research
Salary,Tutoring
Self-Developement,Music
Social Life,Evelyn
Social Life,Friend
Social Life,Fellowship
Social Life,Alumni
Social Life,Dues
Transportation,Airplane
Transportation,Car
Transportation,Bike Share
Transportation,Presto
Transportation,Public Transport
Transportation,Taxi
